mine_id,name,state,district,company,mine_type,ownership,status,name_normalized,company_normalized,state_normalized,district_normalized,_match_name,match_name,match_score,match_method,coordinate_source_name,latitude,longitude
CM-285,Ningha (SSI) OC,West Bengal,Bardhaman,ECL,OPENCAST,PUBLIC,WORKING,ningha ssi oc,ecl,west bengal,bardhaman,ningha ssi oc,ningha ssi oc,100,EXACT,Ningha (SSI) OC,,
CM-286,Nirsha,Jharkhand,DHANBAD,ECL,OPENCAST,PUBLIC,WORKING,nirsha,ecl,jharkhand,dhanbad,nirsha,nirsha,100,EXACT,Nirsha,,
CM-287,North Searsole OC Colliery,West Bengal,Bardhaman,ECL,OPENCAST,PUBLIC,WORKING,north searsole oc,ecl,west bengal,bardhaman,north searsole oc,north searsole oc,100,EXACT,North Searsole OC Colliery,,
CM-288,North Urimari/Birsa-OC,Jharkhand,HAZARIBAGH,CCL,OPENCAST,PUBLIC,WORKING,north urimari birsa oc,ccl,jharkhand,hazaribagh,north urimari birsa oc,north urimari birsa oc,100,EXACT,North Urimari/Birsa-OC,,
CM-289,Nowrozabad (W),Madhya Pradesh,UMARIA,SECL,UNDERGROUND,PUBLIC,WORKING,nowrozabad w,secl,madhya pradesh,umaria,nowrozabad w,nowrozabad w,100,EXACT,Nowrozabad (W),,
CM-290,NTST-Jeenagora,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,ntst jeenagora,bccl,jharkhand,dhanbad,ntst jeenagora,ntst jeenagora,100,EXACT,NTST-Jeenagora,,
CM-291,Orient Mine No. 1 & 2,Odisha,JHARSUGUDA,MCL,UNDERGROUND,PUBLIC,WORKING,orient no 1 2,mcl,odisha,jharsuguda,orient no 1 2,orient no 1 2,100,EXACT,Orient Mine No. 1 & 2,,
CM-292,Pacchwara North Coal Mine,Jharkhand,PAKUR,WBPDCL,OPENCAST,PUBLIC,WORKING,pacchwara north,wbpdcl,jharkhand,pakur,pacchwara north,pacchwara north,100,EXACT,Pacchwara North Coal Mine,,
CM-293,Pachhwara Central Coal Mine,Jharkhand,PAKUR,PSPCL,OPENCAST,PUBLIC,WORKING,pachhwara central,pspcl,jharkhand,pakur,pachhwara central,pachhwara central,100,EXACT,Pachhwara Central Coal Mine,,
CM-294,Padampur OC,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,NON_WORKING,padampur oc,wcl,maharashtra,chandrapur,padampur oc,padampur oc,100,EXACT,Padampur OC,,
CM-295,Padmavathi Khani No.5 Incline,Telangana,KHAMMAM,SCCL,UNDERGROUND,PUBLIC,WORKING,padmavathi khani no 5 incline,sccl,telangana,khammam,padmavathi khani no 5 incline,padmavathi khani no 5 incline,100,EXACT,Padmavathi Khani No.5 Incline,,
CM-296,Pakri Barwadih,Jharkhand,HAZARIBAGH,NTPC,OPENCAST,PUBLIC,WORKING,pakri barwadih,ntpc,jharkhand,hazaribagh,pakri barwadih,pakri barwadih,100,EXACT,Pakri Barwadih,,
CM-297,Pali,Madhya Pradesh,UMARIA,SECL,UNDERGROUND,PUBLIC,WORKING,pali,secl,madhya pradesh,umaria,pali,pali,100,EXACT,Pali,23.889479,85.00171
CM-298,Pandaveswar UG,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,pandaveswar ug,ecl,west bengal,bardhaman,pandaveswar ug,pandaveswar ug,100,EXACT,Pandaveswar UG,,
CM-299,Pandavpara Colliery,Chhattisgarh,KOREA,SECL,UNDERGROUND,PUBLIC,WORKING,pandavpara,secl,chhattisgarh,korea,pandavpara,pandavpara,100,EXACT,Pandavpara Colliery,,
CM-300,Paoni II OCM,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,WORKING,paoni ii ocm,wcl,maharashtra,chandrapur,paoni ii ocm,paoni ii ocm,100,EXACT,Paoni II OCM,,
CM-301,Parasea Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,parasea,ecl,west bengal,bardhaman,parasea,parasea,100,EXACT,Parasea Colliery,,
CM-302,Parbelia Colliery,West Bengal,PURULIA,ECL,UNDERGROUND,PUBLIC,WORKING,parbelia,ecl,west bengal,purulia,parbelia,parbelia,100,EXACT,Parbelia Colliery,,
CM-303,Parej East OCP,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,WORKING,parej east ocp,ccl,jharkhand,ramgarh,parej east ocp,parej east ocp,100,EXACT,Parej East OCP,,
CM-304,Parsa East and Kanta Basan OCM,Chhattisgarh,SURGUJA,RRVUNL,OPENCAST,PUBLIC,WORKING,parsa east and kanta basan ocm,rrvunl,chhattisgarh,surguja,parsa east and kanta basan ocm,parsa east and kanta basan ocm,100,EXACT,Parsa East and Kanta Basan OCM,,
CM-305,Patansaongi Colliery,Maharashtra,NAGPUR,WCL,UNDERGROUND,PUBLIC,WORKING,patansaongi,wcl,maharashtra,nagpur,patansaongi,patansaongi,100,EXACT,Patansaongi Colliery,,
CM-306,Patmohana Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,patmohana,ecl,west bengal,bardhaman,patmohana,patmohana,100,EXACT,Patmohana Colliery,,
CM-307,Penganga OC,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,WORKING,penganga oc,wcl,maharashtra,chandrapur,penganga oc,penganga oc,100,EXACT,Penganga OC,,
CM-308,"Pimpalgaon,",Maharashtra,YAVATMAL,WCL,OPENCAST,PUBLIC,NON_WORKING,pimpalgaon,wcl,maharashtra,yavatmal,pimpalgaon,pimpalgaon,100,EXACT,"Pimpalgaon,",,
CM-309,Pindra Colliery,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,NON_WORKING,pindra,ccl,jharkhand,ramgarh,pindra,pindra,100,EXACT,Pindra Colliery,,
CM-310,Piparia,Madhya Pradesh,UMARIA,SECL,UNDERGROUND,PUBLIC,WORKING,piparia,secl,madhya pradesh,umaria,piparia,piparia,100,EXACT,Piparia,,
CM-311,Porascol East Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,porascol east,ecl,west bengal,bardhaman,porascol east,porascol east,100,EXACT,Porascol East Colliery,,
CM-312,Porascol West Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,porascol west,ecl,west bengal,bardhaman,porascol west,porascol west,100,EXACT,Porascol West Colliery,,
CM-313,Prakasham Khani OC,Telangana,KHAMMAM,SCCL,OPENCAST,PUBLIC,WORKING,prakasham khani oc,sccl,telangana,khammam,prakasham khani oc,prakasham khani oc,100,EXACT,Prakasham Khani OC,,
CM-314,Pundi,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,NON_WORKING,pundi,ccl,jharkhand,ramgarh,pundi,pundi,100,EXACT,Pundi,,
CM-315,Pure Searsole Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,pure searsole,ecl,west bengal,bardhaman,pure searsole,pure searsole,100,EXACT,Pure Searsole Colliery,,
CM-316,Purnadih,Jharkhand,RANCHI,CCL,OPENCAST,PUBLIC,WORKING,purnadih,ccl,jharkhand,ranchi,purnadih,purnadih,100,EXACT,Purnadih,,
CM-317,Rajendra,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING,rajendra,secl,madhya pradesh,shahdol,rajendra,rajendra,100,EXACT,Rajendra,,
CM-318,Rajhara,Jharkhand,PALAMU,CCL,OPENCAST,PUBLIC,NON_WORKING,rajhara,ccl,jharkhand,palamu,rajhara,rajhara,100,EXACT,Rajhara,,
CM-319,Rajmahal OCP,Jharkhand,GODDA,ECL,OPENCAST,PUBLIC,WORKING,rajmahal ocp,ecl,jharkhand,godda,rajmahal ocp,rajmahal ocp,100,EXACT,Rajmahal OCP,,
CM-320,Rajnagar RO,Madhya Pradesh,SHAHDOL,SECL,UNDERGROUND,PUBLIC,WORKING,rajnagar ro,secl,madhya pradesh,shahdol,rajnagar ro,rajnagar ro,100,EXACT,Rajnagar RO,,
CM-321,Rajpura,Jharkhand,DHANBAD,ECL,OPENCAST,PUBLIC,WORKING,rajpura,ecl,jharkhand,dhanbad,rajpura,rajpura,100,EXACT,Rajpura,,
CM-322,Rajrappa Project,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,WORKING,rajrappa,ccl,jharkhand,ramgarh,rajrappa,rajrappa,100,EXACT,Rajrappa Project,,
CM-323,Rajur UG,Maharashtra,YAVATMAL,WCL,UNDERGROUND,PUBLIC,WORKING,rajur ug,wcl,maharashtra,yavatmal,rajur ug,rajur ug,100,EXACT,Rajur UG,,
CM-324,Ramagundam OC-I Extn. Ph-II,Telangana,PEDDAPALLI,SCCL,OPENCAST,PUBLIC,WORKING,ramagundam oc i extn ph ii,sccl,telangana,peddapalli,ramagundam oc i extn ph ii,ramagundam oc i extn ph ii,100,EXACT,Ramagundam OC-I Extn. Ph-II,,
CM-325,Ramagundam-OC 3 & OC III,Telangana,PEDDAPALLI,SCCL,OPENCAST,PUBLIC,WORKING,ramagundam oc 3 oc iii,sccl,telangana,peddapalli,ramagundam oc 3 oc iii,ramagundam oc 3 oc iii,100,EXACT,Ramagundam-OC 3 & OC III,,
CM-326,Ramakrishnapur OC,Telangana,MANCHERIAL,SCCL,OPENCAST,PUBLIC,WORKING,ramakrishnapur oc,sccl,telangana,mancherial,ramakrishnapur oc,ramakrishnapur oc,100,EXACT,Ramakrishnapur OC,,
CM-327,Ramnagar Colliery,West Bengal,PASCHIM BARDHAMAN,IISCO,UNDERGROUND,PUBLIC,NON_WORKING,ramnagar,iisco,west bengal,paschim bardhaman,ramnagar,ramnagar,100,EXACT,Ramnagar Colliery,,
CM-328,Ramnagar Colliery,West Bengal,PASCHIM BARDHAMAN,IISCO,OPENCAST,PUBLIC,WORKING,ramnagar,iisco,west bengal,paschim bardhaman,ramnagar,ramnagar,100,EXACT,Ramnagar Colliery,,
CM-329,Rampur Batura,Madhya Pradesh,SHAHDOL,SECL,OPENCAST,PUBLIC,WORKING,rampur batura,secl,madhya pradesh,shahdol,rampur batura,rampur batura,100,EXACT,Rampur Batura,,
CM-330,Raniatari,Chhattisgarh,KOREA,SECL,UNDERGROUND,PUBLIC,WORKING,raniatari,secl,chhattisgarh,korea,raniatari,raniatari,100,EXACT,Raniatari,,
CM-331,Ravindra Khani-5 Incline,Telangana,MANCHERIAL,SCCL,UNDERGROUND,PUBLIC,WORKING,ravindra khani 5 incline,sccl,telangana,mancherial,ravindra khani 5 incline,ravindra khani 5 incline,100,EXACT,Ravindra Khani-5 Incline,,
CM-332,Ravindra Khani-6 Incline,Telangana,MANCHERIAL,SCCL,UNDERGROUND,PUBLIC,WORKING,ravindra khani 6 incline,sccl,telangana,mancherial,ravindra khani 6 incline,ravindra khani 6 incline,100,EXACT,Ravindra Khani-6 Incline,,
CM-333,"Ravindra Khani-7,Incline",Telangana,MANCHERIAL,SCCL,UNDERGROUND,PUBLIC,WORKING,ravindra khani 7 incline,sccl,telangana,mancherial,ravindra khani 7 incline,ravindra khani 7 incline,100,EXACT,"Ravindra Khani-7,Incline",,
CM-334,"Ravindra Khani-New Tech,",Telangana,MANCHERIAL,SCCL,UNDERGROUND,PUBLIC,WORKING,ravindra khani new tech,sccl,telangana,mancherial,ravindra khani new tech,ravindra khani new tech,100,EXACT,"Ravindra Khani-New Tech,",,
CM-335,Rehar,Chhattisgarh,SURGUJA,SECL,UNDERGROUND,PUBLIC,WORKING,rehar,secl,chhattisgarh,surguja,rehar,rehar,100,EXACT,Rehar,,
CM-336,Religara,Jharkhand,HAZARIBAGH,CCL,OPENCAST,PUBLIC,WORKING,religara,ccl,jharkhand,hazaribagh,religara,religara,100,EXACT,Religara,,
CM-337,ROCP/S. Jharia,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,rocp s jharia,bccl,jharkhand,dhanbad,rocp s jharia,rocp s jharia,100,EXACT,ROCP/S. Jharia,,
CM-338,Rohini,Jharkhand,RANCHI,CCL,OPENCAST,PUBLIC,WORKING,rohini,ccl,jharkhand,ranchi,rohini,rohini,100,EXACT,Rohini,23.685074,84.989074
CM-339,Samleswari OCP,Odisha,JHARSUGUDA,MCL,OPENCAST,PUBLIC,WORKING,samleswari ocp,mcl,odisha,jharsuguda,samleswari ocp,samleswari ocp,100,EXACT,Samleswari OCP,,
CM-340,Sankarpur Colliery,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,sankarpur,ecl,west bengal,bardhaman,sankarpur,sankarpur,100,EXACT,Sankarpur Colliery,,
CM-341,Saoner Mine - II,Maharashtra,NAGPUR,WCL,UNDERGROUND,PUBLIC,WORKING,saoner ii,wcl,maharashtra,nagpur,saoner ii,saoner ii,100,EXACT,Saoner Mine - II,,
CM-342,Saoner Mine - III,Maharashtra,NAGPUR,WCL,UNDERGROUND,PUBLIC,WORKING,saoner iii,wcl,maharashtra,nagpur,saoner iii,saoner iii,100,EXACT,Saoner Mine - III,,
CM-343,Saoner Mine-I,Maharashtra,NAGPUR,WCL,UNDERGROUND,PUBLIC,WORKING,saoner i,wcl,maharashtra,nagpur,saoner i,saoner i,100,EXACT,Saoner Mine-I,,
CM-344,Saraipali,Chhattisgarh,KORBA,SECL,UNDERGROUND,PUBLIC,WORKING,saraipali,secl,chhattisgarh,korba,saraipali,saraipali,100,EXACT,Saraipali,,
CM-345,Sarisatolli Coal Mine,West Bengal,PASCHIM BARDHAMAN,CESC,OPENCAST,PRIVATE,WORKING,sarisatolli,cesc,west bengal,paschim bardhaman,sarisatolli,sarisatolli,100,EXACT,Sarisatolli Coal Mine,,
CM-346,Sarni Mine,Madhya Pradesh,BETUL,WCL,UNDERGROUND,PUBLIC,NON_WORKING,sarni,wcl,madhya pradesh,betul,sarni,sarni,100,EXACT,Sarni Mine,,
CM-347,Sarubera,Jharkhand,RAMGARH,CCL,UNDERGROUND,PUBLIC,NON_WORKING,sarubera,ccl,jharkhand,ramgarh,sarubera,sarubera,100,EXACT,Sarubera,,
CM-348,Sasti Expn. OCM,Maharashtra,CHANDRAPUR,WCL,OPENCAST,PUBLIC,WORKING,sasti expn ocm,wcl,maharashtra,chandrapur,sasti expn ocm,sasti expn ocm,100,EXACT,Sasti Expn. OCM,,
CM-349,Satgram Incline,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,satgram incline,ecl,west bengal,bardhaman,satgram incline,satgram incline,100,EXACT,Satgram Incline,,
CM-350,Satgram Project,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,satgram,ecl,west bengal,bardhaman,satgram,satgram,100,EXACT,Satgram Project,,
CM-351,Saunda (Ncdc),Jharkhand,RAMGARH,CCL,UNDERGROUND,PUBLIC,NON_WORKING,saunda ncdc,ccl,jharkhand,ramgarh,saunda ncdc,saunda ncdc,100,EXACT,Saunda (Ncdc),,
CM-352,Sayal `D',Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,WORKING,sayal d,ccl,jharkhand,ramgarh,sayal d,sayal d,100,EXACT,Sayal `D',,
CM-353,SD OC Mine,Jharkhand,BOKARO,CCL,OPENCAST,PUBLIC,WORKING,sd oc,ccl,jharkhand,bokaro,sd oc,sd oc,100,EXACT,SD OC Mine,,
CM-354,Sendra Bansjora,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,sendra bansjora,bccl,jharkhand,dhanbad,sendra bansjora,sendra bansjora,100,EXACT,Sendra Bansjora,,
CM-355,Shampur B,Jharkhand,DHANBAD,ECL,UNDERGROUND,PUBLIC,WORKING,shampur b,ecl,jharkhand,dhanbad,shampur b,shampur b,100,EXACT,Shampur B,,
CM-356,Shanthi Khani,Telangana,MANCHERIAL,SCCL,UNDERGROUND,PUBLIC,WORKING,shanthi khani,sccl,telangana,mancherial,shanthi khani,shanthi khani,100,EXACT,Shanthi Khani,,
