mine_id,name,state,district,company,mine_type,ownership,status,name_normalized,company_normalized,state_normalized,district_normalized,_match_name,match_name,match_score,match_method,coordinate_source_name,latitude,longitude,coordinate_valid,coordinate_status
CM-212,Khottadih OCP,West Bengal,Bardhaman,ECL,OPENCAST,PUBLIC,WORKING,khottadih ocp,ecl,west bengal,bardhaman,khottadih ocp,khottadih ocp,100,EXACT,Khottadih OCP,,,False,MISSING_OR_INVALID
CM-213,Khottadih UG,West Bengal,Bardhaman,ECL,UNDERGROUND,PUBLIC,WORKING,khottadih ug,ecl,west bengal,bardhaman,khottadih ug,khottadih ug,100,EXACT,Khottadih UG,,,False,MISSING_OR_INVALID
CM-214,Kistaram OC,Telangana,KHAMMAM,SCCL,OPENCAST,PUBLIC,WORKING,kistaram oc,sccl,telangana,khammam,kistaram oc,kistaram oc,100,EXACT,Kistaram OC,,,False,MISSING_OR_INVALID
CM-215,"Kolarpimpri,",Maharashtra,YAVATMAL,WCL,OPENCAST,PUBLIC,WORKING,kolarpimpri,wcl,maharashtra,yavatmal,kolarpimpri,kolarpimpri,100,EXACT,"Kolarpimpri,",,,False,MISSING_OR_INVALID
CM-216,Kolgaon OC,Maharashtra,YAVATMAL,WCL,OPENCAST,PUBLIC,WORKING,kolgaon oc,wcl,maharashtra,yavatmal,kolgaon oc,kolgaon oc,100,EXACT,Kolgaon OC,,,False,MISSING_OR_INVALID
CM-217,Kondapuram UG,Telangana,KHAMMAM,SCCL,UNDERGROUND,PUBLIC,WORKING,kondapuram ug,sccl,telangana,khammam,kondapuram ug,kondapuram ug,100,EXACT,Kondapuram UG,,,False,MISSING_OR_INVALID
CM-218,Koya Gundem OC II,Telangana,KHAMMAM,SCCL,OPENCAST,PUBLIC,WORKING,koya gundem oc ii,sccl,telangana,khammam,koya gundem oc ii,koya gundem oc ii,100,EXACT,Koya Gundem OC II,,,False,MISSING_OR_INVALID
CM-219,Krishnshila OCP,Uttar Pradesh,SONBHADRA,NCL,OPENCAST,PUBLIC,WORKING,krishnshila ocp,ncl,uttar pradesh,sonbhadra,krishnshila ocp,krishnshila ocp,100,EXACT,Krishnshila OCP,,,False,MISSING_OR_INVALID
CM-220,Kujama,Jharkhand,DHANBAD,BCCL,OPENCAST,PUBLIC,WORKING,kujama,bccl,jharkhand,dhanbad,kujama,kujama,100,EXACT,Kujama,,,False,MISSING_OR_INVALID
CM-221,Kuju Colliery,Jharkhand,RAMGARH,CCL,OPENCAST,PUBLIC,NON_WORKING,kuju,ccl,jharkhand,ramgarh,kuju,kuju,100,EXACT,Kuju Colliery,,,False,MISSING_OR_INVALID
CM-222,Kulda OCP Balinga,Odisha,SUNDARGARH,MCL,OPENCAST,PUBLIC,WORKING,kulda ocp balinga,mcl,odisha,sundargarh,kulda ocp balinga,kulda ocp balinga,100,EXACT,Kulda OCP Balinga,,,False,MISSING_OR_INVALID
CM-223,Kumardhubi Colliery,Jharkhand,DHANBAD,ECL,UNDERGROUND,PUBLIC,WORKING,kumardhubi,ecl,jharkhand,dhanbad,kumardhubi,kumardhubi,100,EXACT,Kumardhubi Colliery,,,False,MISSING_OR_INVALID
